critiqued_keyphrase,item_id,item_name,item_rank,item_score,iteration,num_existing_keyphrases,result,target_rank,user_id,critiqued_keyphrase_name,lambda
,78.0,b'The Works Gourmet Burger Bistro',,,0.0,20.0,,20.0,0.0,,
48,78.0,b'The Works Gourmet Burger Bistro',445,0.14662429478963482,1.0,20.0,,20.0,0.0,burger,[1]
4,78.0,b'The Works Gourmet Burger Bistro',90,0.2966392710269276,2.0,20.0,,20.0,0.0,fry,"[1, 1]"
5,78.0,b'The Works Gourmet Burger Bistro',389,0.18949704838089432,3.0,20.0,,20.0,0.0,fried,"[1, 1, 1]"
7,78.0,b'The Works Gourmet Burger Bistro',884,0.12033443852321757,4.0,20.0,,20.0,0.0,dinner,"[1, 1, 1, 1]"
25,78.0,b'The Works Gourmet Burger Bistro',492,0.20542889032978212,5.0,20.0,,20.0,0.0,vegetarian,"[1, 1, 1, 1, 1]"
27,78.0,b'The Works Gourmet Burger Bistro',5622,-0.047038101874341695,6.0,20.0,,20.0,0.0,bbq,"[1, 1, 1, 1, 1, 1]"
34,78.0,b'The Works Gourmet Burger Bistro',1112,0.13961120985065,7.0,20.0,,20.0,0.0,potato,"[1, 1, 1, 1, 1, 1, 1]"
35,78.0,b'The Works Gourmet Burger Bistro',1158,0.13496407113616482,8.0,20.0,,20.0,0.0,crispy,"[1, 1, 1, 1, 1, 1, 1, 1]"
49,78.0,b'The Works Gourmet Burger Bistro',355,0.34512827143946934,9.0,20.0,,20.0,0.0,cheese,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
52,78.0,b'The Works Gourmet Burger Bistro',378,0.36683050991183086,10.0,20.0,,20.0,0.0,beef,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
56,78.0,b'The Works Gourmet Burger Bistro',382,0.3835384743888318,11.0,20.0,,20.0,0.0,chicken,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
85,78.0,b'The Works Gourmet Burger Bistro',146,0.7462584773538974,12.0,20.0,,20.0,0.0,patty,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
96,78.0,b'The Works Gourmet Burger Bistro',78,1.0552280771147453,13.0,20.0,,20.0,0.0,poutine,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
119,78.0,b'The Works Gourmet Burger Bistro',113,0.9116979262773315,14.0,20.0,,20.0,0.0,bun,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
126,78.0,b'The Works Gourmet Burger Bistro',140,0.9452707251832393,15.0,20.0,,20.0,0.0,milk,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
