critiqued_keyphrase,item_id,item_name,item_rank,item_score,iteration,num_existing_keyphrases,result,target_rank,user_id,critiqued_keyphrase_name,lambda
,75.0,b'Salad King Restaurant',,,0.0,20.0,,20.0,1.0,,
2,75.0,b'Salad King Restaurant',2,27.085478007301386,1.0,20.0,successful,20.0,1.0,thai,[1.0]
,78.0,b'The Works Gourmet Burger Bistro',,,0.0,20.0,,20.0,1.0,thai,[1.0]
48,78.0,b'The Works Gourmet Burger Bistro',481,0.8826743766744554,1.0,20.0,,20.0,1.0,burger,[1.0]
4,78.0,b'The Works Gourmet Burger Bistro',146,2.782559175213199,2.0,20.0,,20.0,1.0,fry,"[1.0, 1.0]"
5,78.0,b'The Works Gourmet Burger Bistro',649,1.663440548319087,3.0,20.0,,20.0,1.0,fried,"[1.0, 1.0, 1.0]"
8,78.0,b'The Works Gourmet Burger Bistro',831,1.927127258501879,4.0,20.0,,20.0,1.0,lunch,"[1.0, 1.0, 1.0, 1.0]"
25,78.0,b'The Works Gourmet Burger Bistro',564,2.596435737595347,5.0,20.0,,20.0,1.0,vegetarian,"[1.0, 1.0, 1.0, 1.0, 1.0]"
27,78.0,b'The Works Gourmet Burger Bistro',1095,1.5827520563716204,6.0,20.0,,20.0,1.0,bbq,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
49,78.0,b'The Works Gourmet Burger Bistro',120,9.134354344366482,7.0,20.0,,20.0,1.0,cheese,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
52,78.0,b'The Works Gourmet Burger Bistro',124,9.305428445115648,8.0,20.0,,20.0,1.0,beef,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
56,78.0,b'The Works Gourmet Burger Bistro',148,9.798862514408144,9.0,20.0,,20.0,1.0,chicken,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
80,78.0,b'The Works Gourmet Burger Bistro',181,9.129554035314678,10.0,20.0,,20.0,1.0,avocado,"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
85,78.0,b'The Works Gourmet Burger Bistro',136,10.161365715489557,11.0,20.0,,20.0,1.0,patty,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0]"
96,78.0,b'The Works Gourmet Burger Bistro',181,9.129554035314678,12.0,20.0,,20.0,1.0,poutine,"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
113,78.0,b'The Works Gourmet Burger Bistro',136,10.161365715489557,13.0,20.0,,20.0,1.0,bacon,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]"
119,78.0,b'The Works Gourmet Burger Bistro',230,8.267429684223966,14.0,20.0,,20.0,1.0,bun,"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
